year,level_1,level_2,value
2009,Total,20-24 Years,424
2009,Total,25-29 Years,304
2009,Total,30 Years & Over,345
2010,Total,Under 5 Years,759
2010,Total,5-9 Years,1708
2010,Total,10-14 Years,1104
2010,Total,15-19 Years,701
2010,Total,20-24 Years,447
2010,Total,25-29 Years,354
2010,Total,30 Years & Over,360
2011,Total,Under 5 Years,904
2011,Total,5-9 Years,1728
2011,Total,10-14 Years,1103
2011,Total,15-19 Years,803
2011,Total,20-24 Years,506
2011,Total,25-29 Years,294
2011,Total,30 Years & Over,358
2012,Total,Under 5 Years,820
2012,Total,5-9 Years,1642
2012,Total,10-14 Years,1013
2012,Total,15-19 Years,656
2012,Total,20-24 Years,489
2012,Total,25-29 Years,309
2012,Total,30 Years & Over,377
2013,Total,Under 5 Years,846
2013,Total,5-9 Years,1712
2013,Total,10-14 Years,973
2013,Total,15-19 Years,748
2013,Total,20-24 Years,475
2013,Total,25-29 Years,318
2013,Total,30 Years & Over,399
2014,Total,Under 5 Years,878
2014,Total,5-9 Years,1577
2014,Total,10-14 Years,967
2014,Total,15-19 Years,651
2014,Total,20-24 Years,441
2014,Total,25-29 Years,301
2014,Total,30 Years & Over,357
2015,Total,Under 5 Years,936
2015,Total,5-9 Years,1717
2015,Total,10-14 Years,899
2015,Total,15-19 Years,737
2015,Total,20-24 Years,488
2015,Total,25-29 Years,278
2015,Total,30 Years & Over,395
2016,Total,Under 5 Years,953
2016,Total,5-9 Years,1711
2016,Total,10-14 Years,983
2016,Total,15-19 Years,689
2016,Total,20-24 Years,492
2016,Total,25-29 Years,285
2016,Total,30 Years & Over,392
2017,Total,Under 5 Years,899
2017,Total,5-9 Years,1751
2017,Total,10-14 Years,969
2017,Total,15-19 Years,664
2017,Total,20-24 Years,513
2017,Total,25-29 Years,349
2017,Total,30 Years & Over,425
