year,level_1,level_2,value
1993,Brides - Post-secondary,Grooms - Post-secondary,1772
1993,Brides - Post-secondary,Grooms - University,810
1993,Brides - University,Grooms - Secondary & Below,212
1993,Brides - University,Grooms - Post-secondary,367
1993,Brides - University,Grooms - University,1981
1994,Total,Grooms - Secondary & Below,10125
1994,Total,Grooms - Post-secondary,4278
1994,Total,Grooms - University,3378
1994,Brides - Secondary & Below,Grooms - Secondary & Below,8328
1994,Brides - Secondary & Below,Grooms - Post-secondary,1996
1994,Brides - Secondary & Below,Grooms - University,533
1994,Brides - Post-secondary,Grooms - Secondary & Below,1551
1994,Brides - Post-secondary,Grooms - Post-secondary,1869
1994,Brides - Post-secondary,Grooms - University,823
1994,Brides - University,Grooms - Secondary & Below,246
1994,Brides - University,Grooms - Post-secondary,413
1994,Brides - University,Grooms - University,2022
1995,Total,Grooms - Secondary & Below,9466
1995,Total,Grooms - Post-secondary,4423
1995,Total,Grooms - University,4038
1995,Brides - Secondary & Below,Grooms - Secondary & Below,7582
1995,Brides - Secondary & Below,Grooms - Post-secondary,1928
1995,Brides - Secondary & Below,Grooms - University,576
1995,Brides - Post-secondary,Grooms - Secondary & Below,1645
1995,Brides - Post-secondary,Grooms - Post-secondary,2028
1995,Brides - Post-secondary,Grooms - University,940
1995,Brides - University,Grooms - Secondary & Below,239
1995,Brides - University,Grooms - Post-secondary,467
1995,Brides - University,Grooms - University,2522
1996,Total,Grooms - Secondary & Below,8542
1996,Total,Grooms - Post-secondary,4238
1996,Total,Grooms - University,4315
1996,Brides - Secondary & Below,Grooms - Secondary & Below,6786
1996,Brides - Secondary & Below,Grooms - Post-secondary,1762
1996,Brides - Secondary & Below,Grooms - University,497
1996,Brides - Post-secondary,Grooms - Secondary & Below,1513
1996,Brides - Post-secondary,Grooms - Post-secondary,1971
1996,Brides - Post-secondary,Grooms - University,1030
1996,Brides - University,Grooms - Secondary & Below,243
1996,Brides - University,Grooms - Post-secondary,505
1996,Brides - University,Grooms - University,2788
1997,Total,Grooms - Secondary & Below,8630
1997,Total,Grooms - Post-secondary,4680
1997,Total,Grooms - University,5047
1997,Brides - Secondary & Below,Grooms - Secondary & Below,6683
1997,Brides - Secondary & Below,Grooms - Post-secondary,1815
1997,Brides - Secondary & Below,Grooms - University,571
1997,Brides - Post-secondary,Grooms - Secondary & Below,1657
1997,Brides - Post-secondary,Grooms - Post-secondary,2260
1997,Brides - Post-secondary,Grooms - University,1200
1997,Brides - University,Grooms - Secondary & Below,290
1997,Brides - University,Grooms - Post-secondary,605
1997,Brides - University,Grooms - University,3276
1998,Total,Grooms - Secondary & Below,7293
1998,Total,Grooms - Post-secondary,3949
1998,Total,Grooms - University,4690
